season,stagecode,tieid,team1,team2,winner,aggscore,loglik
2020,el-0q-1fqr,6777e16d|8ab497d5,Gzira United,Hajduk Split,Gzira United,3–3,-Inf
2020,el-0q-1fqr,25f1fd26|7d326cbe,Connah's Quay,Kilmarnock,Connah's Quay,3–2,-632.3990860417259
2018,el-0q-1fqr,86b7acd2|ec560e72,Rangers,Progrès,Progrès,1–2,-507.81911936052353
2016,el-0q-1fqr,835be610|8a898dad,FK Jelgava,Litex Lovech,FK Jelgava,3–3,-464.602916624478
2020,cl-0q-1fqr,33afefe1|c480c810,Nõmme Kalju,Shkëndija 79,Nõmme Kalju,2–2,-448.17432532311915
2017,el-0q-2sqr,ab75e049|f3aacc58,Hibernian,Brøndby,Hibernian,1–1,-435.6454897501112
2018,cl-1k-2qf,206d90db|cf74a709,Barcelona,Roma,Roma,4–4,-429.3014883888397
2019,el-0q-3tqr,69d84c29|946a30cb,Zorya Luhansk,Braga,Zorya Luhansk,3–3,-408.83376801001515
2017,el-0q-2sqr,1e972a99|f4f98e1c,Genk,Budućnost,Budućnost,2–2,-400.38581186109343
2017,cl-1k-1r16,206d90db|e2d8892c,Paris S-G,Barcelona,Barcelona,5–6,-396.63839235631394
2016,cl-0q-3tqr,02cd81bf|04c011d8,Maccabi Tel Aviv,Viktoria Plzeň,Maccabi Tel Aviv,3–2,-378.82979320739406
2016,el-1k-3qf,822bd0ba|add600ae,Dortmund,Liverpool,Liverpool,4–5,-377.46285032735904
2020,el-0q-1fqr,8c6383a1|f1849f98,Jeunesse Esch,Tobol Qostanaı,Jeunesse Esch,1–1,-375.5871053221747
2017,el-1k-1r32,e89d5a28|f25da7fb,Celta Vigo,Shakhtar,Celta Vigo,2–1,-373.687483938272
2015,el-0q-3tqr,a224b06a|d884c383,Mainz 05,Asteras Tripoli,Asteras Tripoli,2–3,-372.70344222891305
2020,cl-0q-1fqr,55ff3845|ae7f2f70,Slovan Bratislava,Sutjeska Nikšić,Sutjeska Nikšić,2–2,-372.56648730758525
2015,el-0q-2sqr,a3ee587a|ea73b616,Víkingur Gøta,Tromsø,Víkingur Gøta,2–1,-356.35390029548984
2019,cl-1k-3sf,19c3f8c4|361ca564,Tottenham,Ajax,Tottenham,3–3,-340.95968646676863
2017,el-0q-4po,12d53956|7c21e445,Astra Giurgiu,West Ham,Astra Giurgiu,2–1,-337.7997630317078
2019,el-0q-3tqr,98ce363d|e2a78c9d,Dinamo Minsk,Zenit,Zenit,5–8,-330.061525309529
2017,el-0q-3tqr,01689b1a|8c635914,AEK Larnaca FC,Spartak Moscow,AEK Larnaca FC,2–1,-326.1703113812319
2020,el-0q-2sqr,a338349f|b1b46fc3,Vidi,Vaduz,Vaduz,1–2,-317.07453467931947
2015,el-0q-3tqr,c9607f44|fac9957a,FK Sarajevo,Atromitos,FK Sarajevo,4–3,-315.0565431856541
2020,el-1k-1r32,18050b20|b81aa4fa,FC Copenhagen,Celtic,FC Copenhagen,4–2,-315.0433525735501
2018,cl-0q-3tqr,4b682260|c734e22f,Dynamo Kyiv,Young Boys,Young Boys,3–3,-307.2688949662709
2015,el-0q-4po,5a8dc328|8dff1828,Apollon Limassol,Loko Moscow,Apollon Limassol,5–2,-306.6620939871895
2019,cl-1k-1r16,19538871|e2d8892c,Manchester Utd,Paris S-G,Manchester Utd,3–3,-302.7839305303669
2018,el-0q-2sqr,356c100c|aeae4fe1,Ružomberok,Brann,Ružomberok,2–1,-301.1290182053119
2019,cl-1k-3sf,206d90db|822bd0ba,Barcelona,Liverpool,Liverpool,3–4,-300.5454500272767
2018,el-0q-3tqr,8ac05d3e|a486e511,Freiburg,NK Domžale,NK Domžale,1–2,-296.7878709681923
2017,el-0q-1fqr,24cd860c|e839c85b,Zimbru Chișinău,Chikhura,Zimbru Chișinău,3–3,-296.0215843344278
2019,cl-0q-4po,099c6eb5|50f2a074,Red Star,RB Salzburg,Red Star,2–2,-295.9786836962313
2017,cl-0q-4po,50f2a074|edd0d381,Dinamo Zagreb,RB Salzburg,Dinamo Zagreb,3–2,-294.54215223502905
2015,cl-1k-1r16,cff3d9bb|e2d8892c,Paris S-G,Chelsea,Paris S-G,3–3,-293.2468480966791
2020,el-1k-1r32,13dc44fd|bff39cf5,Sporting CP,Başakşehir,Başakşehir,4–5,-290.8964232566572
2015,cl-0q-3tqr,7e746554|edd0d381,Aalborg,Dinamo Zagreb,Aalborg,2–1,-279.339845242207
2020,el-0q-1fqr,7c90642e|8ae75624,Olimpija,FK Rīgas FS,Olimpija,4–3,-277.90204389193946
2020,el-0q-3tqr,91cc0413|d7319d80,Rīga FC,HJK,Rīga FC,3–3,-276.3982342588258
2017,el-0q-1fqr,7d326cbe|c2153ae4,Connah's Quay,Stabæk,Connah's Quay,1–0,-274.76719769148286
2015,cl-0q-4po,50f2a074|f3d8c8b9,RB Salzburg,Malmö,Malmö,2–4,-271.5509795374231
2016,el-0q-3tqr,4ebc9920|c8ad3091,FK Rabotnički,Trabzonspor,FK Rabotnički,2–1,-271.3057223482964
2015,el-0q-2sqr,6a3b81bf|e839c85b,Bursaspor,Chikhura,Chikhura,0–0,-269.92095115533925
2018,el-1k-3qf,5725cc7b|acbb6a5b,RB Leipzig,Marseille,Marseille,3–5,-266.0020499549171
2018,el-0q-4po,577e2606|5a5e7874,PAOK,Östersund,Östersund,3–3,-261.57750333100086
2015,cl-0q-1fqr,9549dc95|f0e1ca42,Santa Coloma,FC Banants,Santa Coloma,3–3,-260.16859815948646
2015,el-1k-1r32,0f9294bd|822bd0ba,Liverpool,Beşiktaş,Beşiktaş,1–1,-256.53695022188913
2015,el-0q-2sqr,ee945014|fd36fea1,Metalurg Skopje,Željezničar,Metalurg Skopje,2–2,-255.26858737619634
2015,el-0q-2sqr,253fffc4|d0ab5e26,Neftchi PFK,FC Koper,Neftchi PFK,3–2,-252.70327625375506
2020,el-1k-1r32,18bb7c10|2fdb4aef,Olympiacos,Arsenal,Olympiacos,2–2,-252.51095900114046
2019,el-0q-3tqr,25dbe099|47b3e736,Sarpsborg 08,Rijeka,Sarpsborg 08,2–1,-250.66950960131268
2018,el-0q-1fqr,278db974|356c100c,Vojvodina,Ružomberok,Ružomberok,2–3,-249.06486344843464
2015,el-0q-1fqr,7bc6abf1|c3071553,Sillamäe Kalev,FC Honka,Sillamäe Kalev,4–4,-248.39032049477842
2017,cl-0q-3tqr,90e37d3a|eab315a6,Rosenborg,APOEL FC,APOEL FC,2–4,-247.8173709374159
2015,el-0q-2sqr,9d04848a|f13065a8,Motherwell,Stjarnan,Stjarnan,4–5,-241.0072983104021
2020,cl-0q-3tqr,b81aa4fa|ff04e205,CFR Cluj,Celtic,CFR Cluj,5–4,-240.10828606267768
2015,el-0q-4po,e31d1cd9|fa11a9cc,Real Sociedad,Krasnodar,Krasnodar,1–3,-239.70278325427194
2016,el-0q-1fqr,dd289621|e6232d10,Alashkert FC,St Johnstone,Alashkert FC,2–2,-238.77461777459777
2017,el-0q-2sqr,7bb567b2|7c77b0bc,Birkirkara FC,Hearts,Birkirkara FC,2–1,-237.87974513075957
2015,cl-0q-4po,2aae7689|b81aa4fa,NK Maribor,Celtic,NK Maribor,2–1,-236.82092999008566
2018,el-1k-3qf,50f2a074|7213da33,Lazio,RB Salzburg,RB Salzburg,5–6,-235.19466719082007
2017,el-0q-1fqr,33afefe1|49a61d12,Trakai,Nõmme Kalju FC,Nõmme Kalju FC,3–5,-234.7158039796244
2017,el-0q-3tqr,2818f8bc|ab75e049,Hertha BSC,Brøndby,Brøndby,2–3,-233.74611406052477
2018,el-0q-1fqr,7517d495|9e3153f3,Shakhtyor,Sūduva,Sūduva,1–2,-232.03703030135694
2019,el-1k-1r32,c7a9f859|fa11a9cc,Krasnodar,Bayer,Krasnodar,1–1,-230.9140282677792
2017,el-1k-2r16,32f3ee20|c539e393,Schalke 04,M'gladbach,Schalke 04,3–3,-229.99704262469356
2018,el-0q-2sqr,1d0836d6|49a61d12,Norrköping,Trakai,Trakai,3–3,-228.50807909451117
2020,el-0q-4po,85dbecd4|baae133b,Ararat-Armenia,F91 Dudelange,F91 Dudelange,3–3,-227.33968322306936
2017,el-0q-4po,04c011d8|6777e16d,Maccabi Tel Aviv,Hajduk Split,Hajduk Split,3–3,-225.88546175148184
2015,el-0q-1fqr,7a40cd8b|933ac71c,Rudar Velenje,KF Laçi,KF Laçi,2–2,-224.90357578017458
2020,cl-0q-1fqr,ad2649a5|b983b638,BATE Borisov,Piast Gliwice,BATE Borisov,3–2,-222.25369798941963
2016,el-0q-1fqr,4936d1b7|ae156985,Cork City FC,KR Reykjavík,KR Reykjavík,2–3,-222.12043361971737
2020,el-0q-2sqr,2a428619|2a6cfcb2,Utrecht,Zrinjski Mostar,Zrinjski Mostar,2–3,-220.2322161409892
2017,cl-0q-3tqr,133013ee|2fdb4aef,Olympiacos,Be'er Sheva,Be'er Sheva,0–1,-217.85086264876742
2015,cl-0q-4po,488c6ba1|aed59852,Steaua,Ludogorets,Ludogorets,1–1,-217.8310856616309
2017,cl-0q-3tqr,b983b638|e4a9d483,BATE Borisov,Dundalk FC,Dundalk FC,1–3,-217.26356188837565
2019,el-0q-1fqr,7a40cd8b|d27fe90c,Anorthosis,KF Laçi,KF Laçi,2–2,-217.26205793234604
2018,el-0q-2sqr,768fb565|df526548,FC Kairat,Skënderbeu Korçë,Skënderbeu Korçë,1–3,-217.14685363010454
2017,cl-1k-1r16,a2d435b3|ad2be733,Sevilla,Leicester City,Leicester City,2–3,-216.20776210198648
2018,el-0q-4po,5b47810a|ae1e2d7d,FK Vardar,Fenerbahçe,FK Vardar,4–1,-214.97426244776966
2020,el-0q-1fqr,6e7c9b0b|b11bfada,Dunajská Streda,Cracovia,Dunajská Streda,3–3,-213.52629676312756
2016,el-0q-1fqr,04dcef70|baae133b,UC Dublin,F91 Dudelange,UC Dublin,2–2,-213.42420306399328
2019,el-0q-1fqr,056a9b27|8dc7bf66,B36 Tórshavn,OFK Titograd,B36 Tórshavn,2–1,-212.92415554654963
2020,el-0q-1fqr,7e4fae05|c16f1fe7,Bijeljina,Spartak Trnava,Spartak Trnava,2–2,-212.893954309368
2018,el-1k-2r16,d53c0b06|f0c0c2c2,CSKA Moscow,Lyon,CSKA Moscow,3–3,-210.78364933774628
2019,el-0q-2sqr,6d139ec5|ecb862be,Spartak Subotic,Sparta Prague,Spartak Subotic,3–2,-210.40823579379474
2019,el-0q-1fqr,b11bfada|e2fa043d,Dunajská Streda,Dinamo Tbilisi,Dunajská Streda,3–2,-208.09791253031509
2017,el-1k-3qf,0f9294bd|d53c0b06,Lyon,Beşiktaş,Beşiktaş,3–3,-207.47840511405192
2019,el-0q-4po,18050b20|922493f3,Atalanta,FC Copenhagen,FC Copenhagen,0–0,-205.92092261154306
2019,el-0q-2sqr,03022534|8c6383a1,FC Tobol,FC Pyunik,FC Pyunik,2–2,-205.41481510550759
2017,el-1k-1r32,32f3ee20|421387cf,M'gladbach,Fiorentina,M'gladbach,4–3,-205.2326441912862
2016,cl-0q-4po,b81aa4fa|f3d8c8b9,Celtic,Malmö,Malmö,3–4,-205.11176618374495
2019,cl-1k-1r16,19c3f8c4|53a2f082,Ajax,Real Madrid,Ajax,5–3,-204.18134495746176
2018,cl-0q-2sqr,5b47810a|f3d8c8b9,Malmö,FK Vardar,FK Vardar,2–4,-201.9242395526671
2018,el-0q-3tqr,123f3efe|a338349f,Bordeaux,Videoton,Videoton,2–2,-201.56025089906726
2017,el-0q-2sqr,7700eac9|90eb0dcc,SønderjyskE,Strømsgodset,SønderjyskE,4–3,-200.7143720479105
2019,cl-1k-2qf,19c3f8c4|e0652b02,Ajax,Juventus,Ajax,3–2,-199.79759167997906
2015,el-0q-1fqr,2fc6183e|ea73b616,Víkingur Gøta,FC Daugava,Víkingur Gøta,3–2,-199.57223379099344
2019,cl-0q-1fqr,9e3153f3|eab315a6,Sūduva,APOEL FC,Sūduva,3–2,-198.77006149845337
2016,el-0q-4po,50f2a074|e2a78c9d,Dinamo Minsk,RB Salzburg,Dinamo Minsk,2–2,-198.52228421313185
2020,cl-0q-2sqr,2aae7689|b0333581,Maribor,AIK Stockholm,Maribor,4–4,-197.7689418175915
2018,el-0q-1fqr,0b6cd7c6|54f29d7b,Crusaders FC,FK Liepāja,FK Liepāja,3–3,-195.36408074022827
2015,el-0q-3tqr,f13065a8|fdba14df,Stjarnan,Lech Poznań,Stjarnan,1–0,-194.99371704164554
2017,el-1k-1r32,361ca564|51e5a603,Gent,Tottenham,Gent,3–2,-194.72133236461255
2019,el-0q-1fqr,79000faa|e839c85b,Chikhura,Beitar Jerusalem,Chikhura,2–1,-192.82784645198217
2020,cl-0q-3tqr,44b65410|eab315a6,APOEL,Qarabağ Ağdam,APOEL,3–2,-192.4269897559931
2019,cl-0q-2sqr,488c6ba1|a338349f,Ludogorets,Vidi,Vidi,0–1,-191.72703643670977
2015,el-0q-4po,912e4c40|d7319d80,HJK Helsinki,Rapid Wien,HJK Helsinki,5–4,-191.1546438612958
2016,cl-0q-1fqr,2d3c1b6d|9549dc95,Red Imps,Santa Coloma,Red Imps,2–1,-190.96828459002927
2017,el-0q-3tqr,d7319d80|ef1ab26a,Göteborg,HJK Helsinki,Göteborg,3–2,-188.72349820850548
2020,cl-1k-1r16,822bd0ba|db3b9613,Atlético Madrid,Liverpool,Atlético Madrid,4–2,-187.376623954409
2015,el-0q-4po,50e85bfc|eea856da,Elfsborg,Rio Ave,Rio Ave,2–2,-186.37024888724073
2016,cl-0q-2sqr,2aae7689|c72c8787,NK Maribor,FC Astana,FC Astana,2–3,-185.4201322444628
2015,el-0q-3tqr,31aa0dd4|c39b0fab,Ruch Chorzów,Esbjerg,Ruch Chorzów,2–2,-184.83052662998918
